Comment,positive,negative,neutral
Wallet service very faults. And problem solving very poor,0.14,0.569,0.292
very good,0.762,0.0,0.238
Super,1.0,0.0,0.0
To much slower,0.0,0.0,1.0
Excellent,1.0,0.0,0.0
Excellent,1.0,0.0,0.0
Vvnice,0.0,0.0,1.0
Good,1.0,0.0,0.0
ViNOD Tulsi,0.0,0.0,1.0
No problem until now,0.0,0.71,0.29
Good......,0.0,0.0,1.0
"Sikendr, Kumar",0.0,0.0,1.0
Good,1.0,0.0,0.0
Second time showing wrong upi pin but I am typing right upi pin why,0.0,0.146,0.854
Very easy to use,0.516,0.0,0.484
GT road and Tuesday,0.486,0.0,0.514
Nice application for payment to others,0.359,0.0,0.641
Good,1.0,0.0,0.0
Good,1.0,0.0,0.0
Very good working,0.615,0.0,0.385
Very nice,0.756,0.0,0.244
Phonepay,0.0,0.0,1.0
Thanks for,0.744,0.0,0.256
"I will never recommend Anyone to use PhonePe for recharges or any bill payments.Simply they charge extra platform fee and if we have other free platform like Paytm, Gpay, Amazon pay.Why one would pay for it.",0.183,0.086,0.732
Nice app,0.737,0.0,0.263
Good,1.0,0.0,0.0
So easy to send,0.516,0.0,0.484
One of the best app for payment,0.412,0.0,0.588
Good,1.0,0.0,0.0
Best aap for net banking,0.512,0.0,0.488
Good,1.0,0.0,0.0
All are good but charging 2rs for Recharge is really bad,0.121,0.322,0.558
Nice,1.0,0.0,0.0
Mast,0.0,0.0,1.0
Good,1.0,0.0,0.0
Chutay app app hay hamre paise gst le raha hay,0.0,0.0,1.0
Ek dam bekar hai khul nahi raha hai,0.0,0.0,1.0
Ramavtar Ahirwar,0.0,0.0,1.0
Real,0.0,0.0,1.0
S A,0.0,0.0,0.0
Best app,0.808,0.0,0.192
Good,1.0,0.0,0.0
Best quality,0.808,0.0,0.192
Very easy to used! Thank you phonepe,0.545,0.0,0.455
Very easy,0.762,0.0,0.238
Phone pe is must website,0.0,0.0,1.0
Bahut slow chalta hai,0.0,0.0,1.0
Worst,0.0,1.0,0.0
Super,1.0,0.0,0.0
Sarvendra tomar,0.0,0.0,1.0
Good,1.0,0.0,0.0
Very good. Please do add water bill payment of puducherry,0.419,0.0,0.581
It's good,0.744,0.0,0.256
Takeing charge for recharge,0.0,0.0,1.0
"In app support is useless in phonepe,no other executive support available.i lost my 2900/- as they did not deleted my in active phone pe no.from their record",0.23,0.145,0.625
Phone pay not working amount is not credited and this show your payment was declined security reasons what happened this problem ???,0.087,0.26,0.653
Pehly ye free ka app tha but ab ye recharge pe fees add karne lag gaya is se acha other app hi use kr le hum so bad yaar,0.057,0.249,0.694
Bed,0.0,0.0,1.0
Good,1.0,0.0,0.0
5000 rupaye free please,0.737,0.0,0.263
Exlent,0.0,0.0,1.0
I like this app,0.556,0.0,0.444
Nice app,0.737,0.0,0.263
